fecha,ccl
2013-01-02,6.6700
2013-01-03,6.6800
2013-01-04,6.8200
2013-01-05,6.8200
2013-01-06,6.8200
2013-01-07,6.8300
2013-01-08,6.8700
2013-01-09,7.0300
2013-01-10,7.0300
2013-01-11,7.1300
2013-01-12,7.1300
2013-01-13,7.1300
2013-01-14,7.1600
2013-01-15,7.1800
2013-01-16,7.2500
2013-01-17,7.3300
2013-01-18,7.3100
2013-01-19,7.3100
2013-01-20,7.3100
2013-01-21,7.3100
2013-01-22,7.3500
2013-01-23,7.3800
2013-01-24,7.4600
2013-01-25,7.5100
2013-01-26,7.5100
2013-01-27,7.5100
2013-01-28,7.5300
2013-01-29,7.6200
2013-01-30,7.6800
2013-01-31,7.6800
2013-02-01,7.7100
2013-02-02,7.7100
2013-02-03,7.7100
2013-02-04,7.8300
2013-02-05,7.8700
2013-02-06,7.7700
2013-02-07,7.7000
2013-02-08,7.7600
2013-02-09,7.7600
2013-02-10,7.7600
2013-02-11,7.7600
2013-02-12,7.7600
2013-02-13,7.6900
2013-02-14,7.7100
2013-02-15,7.6200
2013-02-16,7.6200
2013-02-17,7.6200
2013-02-18,7.6200
2013-02-19,7.7200
2013-02-20,7.7200
2013-02-21,7.7500
2013-02-22,7.7500
2013-02-23,7.7500
2013-02-24,7.7500
2013-02-25,7.7300
2013-02-26,7.9400
2013-02-27,7.8200
2013-02-28,7.7800
2013-03-01,8.0800
2013-03-02,8.0800
2013-03-03,8.0800
2013-03-04,8.0600
2013-03-05,7.9200
2013-03-06,8.0600
2013-03-07,8.0300
2013-03-08,8.1500
2013-03-09,8.1500
2013-03-10,8.1500
2013-03-11,8.2000
2013-03-12,8.3300
2013-03-13,8.3400
2013-03-14,8.3600
2013-03-15,8.4700
2013-03-16,8.4700
2013-03-17,8.4700
2013-03-18,8.4900
2013-03-19,8.4400
2013-03-20,8.3700
2013-03-21,8.4800
2013-03-22,8.4800
2013-03-23,8.4800
2013-03-24,8.4800
2013-03-25,8.4000
2013-03-26,8.4800
2013-03-27,8.5000
2013-03-28,8.5000
2013-03-29,8.5000
2013-03-30,8.5000
2013-03-31,8.5000
2013-04-01,8.5000
2013-04-02,8.5000
2013-04-03,8.5400
2013-04-04,8.4400
2013-04-05,8.4100
2013-04-06,8.4100
2013-04-07,8.4100
2013-04-08,8.4500
2013-04-09,8.4400
2013-04-10,8.4800
2013-04-11,8.5200
2013-04-12,8.6300
2013-04-13,8.6300
2013-04-14,8.6300
2013-04-15,8.7300
2013-04-16,8.8700
2013-04-17,8.9300
2013-04-18,9.0500
2013-04-19,9.0400
2013-04-20,9.0400
2013-04-21,9.0400
2013-04-22,8.9300
2013-04-23,8.9300
2013-04-24,8.9000
2013-04-25,8.8500
2013-04-26,9.0100
2013-04-27,9.0100
2013-04-28,9.0100
2013-04-29,9.1600
2013-04-30,9.2100
2013-05-01,9.2100
2013-05-02,9.3100
2013-05-03,9.3100
2013-05-04,9.3100
2013-05-05,9.3100
2013-05-06,9.4700
2013-05-07,9.4300
2013-05-08,9.5400
2013-05-09,9.5500
2013-05-10,9.2400
2013-05-11,9.2400
2013-05-12,9.2400
2013-05-13,9.0100
2013-05-14,8.7100
2013-05-15,8.5900
2013-05-16,9.0200
2013-05-17,9.0600
2013-05-18,9.0600
2013-05-19,9.0600
2013-05-20,8.8300
2013-05-21,8.8700
2013-05-22,8.6600
2013-05-23,8.5100
2013-05-24,8.6200
2013-05-25,8.6200
2013-05-26,8.6200
2013-05-27,8.5300
2013-05-28,8.5300
2013-05-29,8.3400
2013-05-30,8.3200
2013-05-31,8.3200
2013-06-01,8.3200
2013-06-02,8.3200
2013-06-03,8.3200
2013-06-04,8.3200
2013-06-05,8.3000
2013-06-06,8.3500
2013-06-07,8.4100
2013-06-08,8.4100
2013-06-09,8.4100
2013-06-10,8.3600
2013-06-11,8.2800
2013-06-12,8.2700
2013-06-13,8.1600
2013-06-14,8.0500
2013-06-15,8.0500
2013-06-16,8.0500
2013-06-17,8.0200
2013-06-18,7.9000
2013-06-19,7.8700
2013-06-20,7.8700
2013-06-21,7.8700
2013-06-22,7.8700
2013-06-23,7.8700
2013-06-24,8.2500
2013-06-25,8.1800
2013-06-26,8.1000
2013-06-27,7.8800
2013-06-28,7.6500
2013-06-29,7.6500
2013-06-30,7.6500
2013-07-01,7.9000
2013-07-02,7.6300
2013-07-03,7.5900
2013-07-04,7.4000
2013-07-05,7.8600
2013-07-06,7.8600
